activeStart,activeEnd,locationAbbr,locationID
"2018-08-27 12:56:05","2018-09-03 12:37:12",Port_woods_A,1
"2018-09-03 12:38:29","2018-09-10 12:51:43",Port_woods_A,1
"2018-09-10 12:54:00","2018-09-17 13:07:26",Port_woods_A,1
"2018-09-17 13:08:00","2018-09-24 11:32:41",Port_woods_A,1
"2018-08-27 13:05:27","2018-09-03 12:38:20",Port_woods_B,4
"2018-09-03 12:40:00","2018-09-10 12:53:26",Port_woods_B,4
"2018-09-10 12:55:00","2018-09-17 13:10:02",Port_woods_B,4
"2018-09-17 13:11:00","2018-09-19 00:32:46",Port_woods_B,4
"2018-08-27 13:27:23","2018-09-03 13:01:12","Otta A",5
"2018-09-03 13:02:39","2018-09-10 13:17:35","Otta A",5
"2018-09-10 05:00:00","2018-09-17 05:00:00","Otta A",5
"2018-09-17 13:33:00","2018-09-24 13:10:27","Otta A",5
"2018-08-27 13:34:58","2018-09-03 12:55:14","Otta B",6
"2018-09-03 12:56:26","2018-09-10 13:18:28","Otta B",6
"2018-09-10 13:20:00","2018-09-17 13:34:59","Otta B",6
"2018-09-17 13:36:00","2018-09-24 12:56:21","Otta B",6
"2018-08-27 13:57:48","2018-09-03 13:23:06","Lib A",7
"2018-09-03 13:24:32","2018-09-10 13:45:59","Lib A",7
"2018-09-10 05:00:00","2018-09-17 05:00:00","Lib A",7
"2018-09-17 13:58:00","2018-09-24 14:16:53","Lib A",7
"2018-08-27 14:05:29","2018-09-03 13:23:38","Lib B",8
"2018-09-03 13:24:46","2018-09-10 13:47:30","Lib B",8
"2018-09-10 13:49:00","2018-09-17 13:56:02","Lib B",8
"2018-09-17 13:56:00","2018-09-24 04:29:24","Lib B",8
"2018-08-27 09:35:00","2018-09-03 08:44:00","Sunny A",9
"2018-09-03 13:45:51","2018-09-10 14:10:26","Sunny A",9
"2018-09-10 14:12:00","2018-09-17 14:14:33","Sunny A",9
"2018-09-17 14:15:00","2018-09-24 13:10:06","Sunny A",9
"2018-08-27 14:27:57","2018-09-03 13:43:53","Sunny B",10
"2018-09-03 13:45:18","2018-09-10 14:10:37","Sunny B",10
"2018-09-10 14:12:00","2018-09-17 14:13:37","Sunny B",10
"2018-09-17 14:14:00","2018-09-24 14:47:09","Sunny B",10
"2018-08-27 14:51:59","2018-09-03 14:01:51","26 wood A",11
"2018-09-03 14:02:53","2018-09-10 14:26:19","26 wood A",11
"2018-09-10 14:28:00","2018-09-17 14:26:51","26 wood A",11
"2018-09-17 14:28:00","2018-09-24 13:26:01","26 wood A",11
"2018-08-27 15:00:16","2018-09-03 14:00:43","26 wood B",12
"2018-09-03 14:02:04","2018-09-10 14:26:45","26 wood B",12
"2018-09-10 14:29:00","2018-09-17 14:27:28","26 wood B",12
"2018-09-17 14:28:00","2018-09-22 17:25:05","26 wood B",12
"2018-08-27 15:22:37","2018-09-03 14:24:05","Brezina A",13
"2018-09-03 14:25:30","2018-09-10 14:49:15","Brezina A",13
"2018-09-10 05:00:00","2018-09-17 05:00:00","Brezina A",13
"2018-09-17 14:50:00","2018-09-24 15:15:06","Brezina A",13
"2018-08-27 15:32:00","2018-08-29 21:42:12","Brezina B",14
"2018-09-03 05:00:00","2018-09-10 05:00:00","Brezina B",14
"2018-09-10 14:58:00","2018-09-17 14:45:44","Brezina B",14
"2018-09-17 14:46:00","2018-09-24 14:27:43","Brezina B",14
"2018-08-27 15:49:13","2018-09-03 14:44:09","Possum A",15
"2018-09-03 14:45:34","2018-09-10 15:13:06","Possum A",15
"2018-09-10 15:15:00","2018-09-17 15:03:28","Possum A",15
"2018-09-17 15:04:00","2018-09-24 14:20:00","Possum A",15
"2018-08-27 15:54:46","2018-09-03 14:44:56","Possum B",16
"2018-09-03 14:46:06","2018-09-10 15:14:25","Possum B",16
"2018-09-10 15:16:00","2018-09-17 15:04:26","Possum B",16
"2018-09-17 15:05:00","2018-09-24 13:59:03","Possum B",16
"2018-08-27 16:21:13","2018-09-03 15:14:08","Bemis wolf A",17
"2018-09-03 15:16:05","2018-09-10 15:34:52","Bemis wolf A",17
"2018-09-10 15:36:00","2018-09-17 15:24:59","Bemis wolf A",17
"2018-09-17 15:26:00","2018-09-24 13:42:16","Bemis wolf A",17
"2018-08-27 16:28:53","2018-09-03 15:04:52","Bemis wolf B",18
"2018-09-03 15:06:43","2018-09-10 15:32:49","Bemis wolf B",18
"2018-09-10 15:34:00","2018-09-17 15:21:46","Bemis wolf B",18
"2018-09-17 15:22:00","2018-09-24 14:54:48","Bemis wolf B",18
"2018-08-27 16:48:08","2018-09-03 15:35:14","Bemis south A",19
"2018-09-03 15:36:18","2018-09-10 15:53:53","Bemis south A",19
"2018-09-10 05:00:00","2018-09-17 05:00:00","Bemis south A",19
"2018-09-17 15:42:00","2018-09-24 16:20:00","Bemis south A",19
"2018-08-27 16:55:18","2018-09-03 15:35:40","Bemis south B",20
"2018-09-03 15:36:48","2018-09-10 15:55:00","Bemis south B",20
"2018-09-10 15:58:00","2018-09-17 15:40:20","Bemis south B",20
"2018-09-17 15:41:00","2018-09-24 15:13:48","Bemis south B",20
"2018-08-27 17:20:08","2018-09-03 15:52:45","Bemis rope A",21
"2018-09-03 15:53:54","2018-09-10 16:13:15","Bemis rope A",21
"2018-09-10 16:15:00","2018-09-17 15:58:38","Bemis rope A",21
"2018-09-17 16:00:00","2018-09-24 17:00:27","Bemis rope A",21
"2018-08-27 17:31:51","2018-09-03 15:54:20","Bemis rope B",22
"2018-09-03 15:55:52","2018-09-10 16:15:19","Bemis rope B",22
"2018-09-10 16:17:00","2018-09-17 16:01:01","Bemis rope B",22
"2018-09-17 16:03:00","2018-09-24 13:49:05","Bemis rope B",22
"2018-08-27 18:03:18","2018-09-03 16:23:33","York A",23
"2018-09-03 16:24:49","2018-09-10 16:43:51","York A",23
"2018-09-10 16:46:00","2018-09-17 16:44:42","York A",23
"2018-09-17 16:45:00","2018-09-24 15:23:26","York A",23
"2018-08-27 18:14:11","2018-09-03 16:22:34","York B",24
