DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity
2018-08-27T00:00:00,74,83,,74
2018-08-27T00:51:00,73,82,0,74
2018-08-27T01:51:00,73,82,0,74
2018-08-27T02:51:00,72,81,0,74
2018-08-27T03:51:00,71,80,0,74
2018-08-27T04:51:00,71,79,0,77
2018-08-27T05:51:00,70,78,0,76
2018-08-27T06:00:00,70,78,,76
2018-08-27T06:51:00,70,79,0,74
2018-08-27T07:51:00,70,82,0,67
2018-08-27T08:51:00,71,83,0,67
2018-08-27T09:51:00,71,85,0,63
2018-08-27T10:51:00,71,86,0,61
2018-08-27T11:51:00,71,87,0,59
2018-08-27T12:00:00,71,87,,59
2018-08-27T12:51:00,69,91,0,49
2018-08-27T13:51:00,69,92,0,47
2018-08-27T14:51:00,68,92,0,46
2018-08-27T15:51:00,68,93,0,44
2018-08-27T16:51:00,67,92,0,44
2018-08-27T17:51:00,69,90,0,50
2018-08-27T18:00:00,69,90,,50
2018-08-27T18:51:00,70,88,0,55
2018-08-27T19:51:00,69,86,0,57
2018-08-27T20:51:00,70,85,0,61
2018-08-27T21:51:00,70,84,0,63
2018-08-27T22:51:00,70,83,0,65
2018-08-27T23:51:00,70,82,0,67
2018-08-27T23:59:00,,,,
2018-08-28T00:00:00,70,82,,67
2018-08-28T00:51:00,71,82,0,69
2018-08-28T01:51:00,71,81,0,72
2018-08-28T02:51:00,71,80,0,74
2018-08-28T03:51:00,71,80,0,74
2018-08-28T04:51:00,71,79,0,77
2018-08-28T05:51:00,71,79,0,77
2018-08-28T05:58:00,71,79,,77
2018-08-28T06:00:00,71,79,,77
2018-08-28T06:20:00,69,76,,79
2018-08-28T06:36:00,68,73,T,84
2018-08-28T06:42:00,68,72,0.04,87
2018-08-28T06:48:00,70,72,0.18,94
2018-08-28T06:51:00,69,71,0.18,94
2018-08-28T07:22:00,69,71,0.02,94
2018-08-28T07:51:00,68,71,0.03,90
2018-08-28T08:49:00,70,73,,89
2018-08-28T08:51:00,69,73,T,87
2018-08-28T09:44:00,71,77,,82
2018-08-28T09:51:00,72,78,0,82
2018-08-28T10:48:00,73,82,,74
2018-08-28T10:51:00,73,83,0,72
2018-08-28T11:09:00,73,84,,70
2018-08-28T11:51:00,72,85,0,65
2018-08-28T12:00:00,72,85,,65
2018-08-28T12:51:00,72,87,0,61
2018-08-28T13:51:00,72,87,0,61
2018-08-28T14:51:00,72,89,0,57
2018-08-28T15:51:00,72,88,0,59
2018-08-28T16:24:00,73,87,,63
2018-08-28T16:51:00,69,82,T,65
2018-08-28T17:20:00,69,80,T,69
2018-08-28T17:51:00,68,79,T,69
2018-08-28T18:00:00,68,79,,69
2018-08-28T18:51:00,69,79,0,72
2018-08-28T19:51:00,69,78,0,74
2018-08-28T20:25:00,67,75,,76
2018-08-28T20:36:00,67,74,,79
2018-08-28T20:51:00,66,73,0.03s,78
2018-08-28T20:55:00,67,71,T,87
2018-08-28T20:59:00,65,67,0.03,93
2018-08-28T21:22:00,66,67,0.66,97
2018-08-28T21:30:00,66,68,0.67,93
2018-08-28T21:49:00,66,68,,94
2018-08-28T21:51:00,66,68,0.67,93
2018-08-28T22:06:00,66,69,0.01,90
2018-08-28T22:35:00,66,69,0.04,90
2018-08-28T22:49:00,66,70,,88
2018-08-28T22:51:00,66,69,0.12,90
2018-08-28T23:02:00,66,69,0.01,90
2018-08-28T23:09:00,67,70,0.01,90
2018-08-28T23:28:00,66,68,0.24,93
2018-08-28T23:51:00,67,69,0.36,93
2018-08-28T23:59:00,,,,
2018-08-29T00:00:00,67,69,,93
2018-08-29T00:10:00,66,68,0.02,93
2018-08-29T00:51:00,66,68,0.02,93
2018-08-29T01:51:00,67,69,0.06,93
2018-08-29T02:51:00,67,70,0.18,90
2018-08-29T03:51:00,67,70,0.15,90
2018-08-29T04:16:00,67,70,0.01,90
2018-08-29T04:23:00,67,70,0.01,90
2018-08-29T04:31:00,67,70,0.01,90
