week_1,week_2,week_3,week_4
NA,NA,3.446006944,0.499664352
NA,6.703333333,NA,NA
NA,NA,NA,NA
NA,NA,6.649837963,NA
NA,NA,0.35818287,NA
NA,NA,NA,NA
5.563171296,0.333344907,NA,1.818217593
6.364386574,0.434027778,NA,4.355405093
NA,NA,NA,NA
NA,NA,NA,NA
4.875358796,NA,NA,NA
NA,1.683171296,NA,NA
NA,NA,NA,NA
0.49775463,1.559085648,NA,NA
NA,1.724293981,0.975625,NA
0.553715278,5.586840278,0.5109375,NA
5.753055556,NA,NA,3.753275463
5.411701389,NA,NA,NA
NA,NA,NA,NA
NA,1.997118056,NA,NA
NA,NA,NA,NA
4.761261574,2.391388889,NA,NA
NA,NA,NA,1.333923611
NA,NA,NA,NA
4.471678241,NA,1.513113426,NA
NA,NA,NA,NA
NA,NA,NA,2.53681713
NA,NA,NA,NA
6.902615741,NA,0.536944444,2.678321759
3.35,4.462291667,5.537789352,6.508946759
3.391574074,NA,3.310185185,NA
5.861168981,4.963935185,0.365752315,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,5.645451389,6.715,4.624039352
NA,NA,0.792280093,NA
NA,NA,NA,NA
NA,NA,NA,NA
0.646388889,0.6234375,1.776979167,0.079247685
NA,NA,NA,NA
