week_1,week_2,week_3,week_4
1.437731481,4.859548611,NA,2.465451389
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,0.788287037,NA
0.439675926,1.531585648,0.349583333,6.822592593
NA,6.810925926,2.825,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
5.871377315,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1.463449074,NA,2.427233796,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,2.375115741,NA
6.790717593,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
2.300613426,NA,NA,3.345115741
NA,NA,NA,NA
NA,NA,6.637268519,1.593287037
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,2.399571759,1.391168981
NA,4.669537037,NA,1.455046296
