week_1,week_2,week_3,week_4
3.129502315,2.055706019,1.174652778,0.084270833
NA,NA,NA,5.117650463
NA,NA,NA,NA
NA,NA,NA,NA
3.12525463,1.192719907,1.109548611,0.120335648
NA,NA,3.899444444,1.21244213
NA,NA,0.125972222,2.062453704
0.193831019,6.026990741,1.027430556,0.022986111
NA,NA,NA,NA
NA,0.211550926,1.290150463,0.870578704
0.117337963,4.951111111,0.063472222,1.090474537
2.283425926,NA,2.045081019,2.016284722
NA,NA,NA,3.387233796
NA,NA,5.327604167,1.254675926
NA,1.261585648,NA,NA
NA,6.939155093,2.242314815,4.215034722
1.242685185,4.163171296,0.060081019,2.218958333
2.142905093,1.142164352,0.161805556,0.203171296
NA,NA,NA,NA
NA,1.000081019,0.078553241,0.068611111
NA,6.968923611,0.940243056,NA
NA,NA,2.881064815,2.914722222
0.335960648,5.0959375,0.277986111,0.085983796
NA,5.988784722,3.152916667,4.14025463
NA,5.081747685,NA,3.991365741
NA,NA,NA,5.301134259
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,2.043564815,NA
2.030046296,3.273668981,1.183287037,1.075833333
NA,NA,2.895300926,0.073032407
NA,1.040520833,1.901284722,0.225127315
6.300868056,2.28662037,4.185532407,0.912025463
NA,NA,NA,6.025833333
1.869664352,0.070011574,0.218310185,0.055034722
2.778460648,NA,NA,NA
3.01994213,3.11974537,5.043634259,2.071655093
NA,NA,NA,2.88775463
