week_1,week_2,week_3,week_4
2.483113426,0.616493056,0.564189815,0.4390625
NA,NA,0.693425926,NA
NA,5.708263889,NA,1.455625
NA,0.621064815,NA,0.550208333
0.343865741,0.476273148,0.745393519,0.635162037
1.026041667,4.521099537,0.610243056,6.357395833
NA,NA,NA,6.393518519
5.434409722,1.451215278,0.49662037,1.683032407
6.713356481,NA,1.5415625,NA
NA,5.741215278,0.50125,0.701481481
2.655231481,0.105625,0.479305556,0.505347222
NA,0.573252315,3.021041667,0.435
NA,2.455011574,0.506539352,5.714918981
0.534409722,2.411956019,4.502743056,2.432534722
0.400532407,0.415324074,0.4653125,1.647407407
0.440092593,0.675069444,0.780625,0.471469907
0.773020833,4.615300926,2.539027778,0.382430556
1.546261574,0.596180556,0.482071759,3.358090278
NA,6.729363426,NA,NA
2.449375,0.404189815,0.467291667,0.477048611
0.476851852,0.393877315,0.436875,0.683645833
0.378206019,2.3703125,0.596134259,0.635474537
0.807939815,0.098553241,0.626597222,0.426828704
1.804768519,0.478715278,0.435462963,0.421516204
0.475949074,0.480659722,0.475717593,0.446921296
0.500347222,1.83431713,0.655173611,1.880821759
2.534618056,0.708356481,0.794085648,0.636134259
2.612696759,NA,NA,NA
NA,3.485729167,6.614652778,4.758645833
0.654641204,2.796550926,0.48474537,0.629722222
NA,1.815300926,0.75412037,0.599247685
2.352569444,0.589074074,NA,1.49869213
NA,0.399537037,NA,5.636597222
0.286597222,0.67005787,0.632407407,0.719108796
2.71724537,0.682152778,0.541053241,1.602465278
NA,2.370636574,4.401041667,1.5953125
0.454293981,0.673831019,0.533287037,1.38494213
1.539988426,1.801851852,1.360868056,4.686145833
0.282731481,0.71712963,0.43193287,0.695428241
2.404479167,4.706354167,0.69693287,1.554918981
