week_1,week_2,week_3,week_4
2.429421296,0.471134259,6.794282407,0.65556713
NA,NA,NA,4.460439815
NA,NA,NA,NA
NA,NA,1.607060185,1.779155093
2.616527778,0.739305556,0.416990741,NA
NA,NA,1.405,1.677199074
NA,NA,6.454976852,5.402476852
0.363483796,0.554733796,2.359537037,5.421134259
NA,NA,NA,NA
NA,0.688472222,3.564791667,0.572488426
NA,1.683819444,1.582256944,3.811041667
4.751203704,NA,4.613553241,0.571412037
NA,NA,0.710277778,NA
2.501608796,0.779768519,3.632743056,3.700046296
2.475543981,2.739074074,1.538055556,0.412604167
NA,1.750555556,5.440810185,5.807476852
5.611215278,0.693668981,0.445717593,0.427615741
NA,0.58099537,0.781099537,0.617337963
NA,NA,NA,4.420208333
1.464375,NA,3.710972222,6.63099537
3.44443287,0.468842593,NA,6.446805556
0.576388889,1.458645833,5.547060185,NA
0.846643519,1.497546296,0.457280093,0.515810185
2.463506944,NA,6.827789352,3.641701389
NA,0.767627315,0.4840625,0.751944444
NA,NA,1.7378125,1.666238426
NA,0.549699074,NA,NA
NA,NA,NA,NA
NA,5.672881944,2.567604167,1.806215278
6.80306713,0.593113426,2.808634259,0.476273148
NA,NA,NA,NA
NA,NA,0.699722222,3.512939815
0.407881944,0.3634375,0.567106481,NA
0.349513889,2.728263889,4.650092593,3.64162037
NA,NA,NA,1.406342593
NA,5.42255787,0.790300926,0.396273148
NA,4.655034722,0.657997685,1.429652778
NA,NA,NA,NA
6.635636574,0.36849537,1.33681713,2.623958333
NA,3.373611111,NA,4.354560185
