week_1,week_2,week_3,week_4
1.309664352,0.016851852,1.274027778,0.656134259
0.010138889,NA,NA,NA
0.382673611,3.9425,5.034085648,0.334421296
1.845196759,0.426006944,NA,4.761099537
0.660150463,0.3778125,0.792291667,1.398020833
NA,1.586203704,1.065925926,NA
6.926377315,1.319710648,NA,NA
2.918043981,1.318842593,NA,NA
1.873865741,0.38037037,0.565891204,5.612384259
1.310752315,1.705717593,NA,0.511689815
1.972916667,4.268333333,NA,1.938877315
NA,5.250613426,NA,1.922083333
2.18556713,3.155,NA,0.472476852
2.170104167,NA,NA,3.964074074
1.370740741,0.255497685,NA,1.727083333
0.808113426,0.662696759,NA,0.374259259
1.286747685,0.254513889,NA,4.337939815
0.176296296,NA,1.349976852,2.957928241
6.75474537,0.54724537,2.582337963,NA
2.626990741,1.378229167,1.462222222,0.357916667
1.635393519,1.71474537,4.668217593,NA
2.467002315,1.778819444,6.751203704,4.806550926
0.393634259,0.115925926,0.414976852,NA
0.904710648,5.145162037,1.180648148,0.474490741
0.783935185,2.212569444,1.89287037,NA
0.317546296,1.148101852,1.601006944,5.427002315
1.879479167,0.645115741,3.920555556,6.927002315
6.68630787,0.569027778,6.556805556,NA
1.2621875,1.440706019,4.26724537,0.333657407
1.847094907,2.272974537,1.386446759,0.376574074
1.383946759,1.260787037,0.926875,5.307453704
2.212094907,0.931805556,0.413472222,3.417546296
NA,NA,5.749918981,4.135023148
1.591597222,4.085902778,0.625625,NA
1.007395833,0.963402778,0.899571759,3.923090278
0.537847222,0.363784722,0.405763889,4.923356481
4.024074074,NA,4.215763889,NA
2.197141204,NA,4.459583333,4.838946759
1.99875,1.312881944,0.764074074,1.1334375
1.206724537,2.18099537,0.503553241,4.699479167
